id_calle;flujo;;;Rangos;;Numero calles
939;2;;;;;
940;49;;;;;
941;13;;;;;
942;103;;;;;
943;16;;;;;
944;80;;;;;
945;17;;;;;
946;73;;;;;
947;33;;;;;
948;17;;;;;
949;77;;;;;
950;25;;;;;
951;1;;;;;
952;108;;;;;
953;43;;;;;
954;11;;;;;
955;63;;;;;
956;7;;;;;
957;15;;;;;
958;29;;;;;
959;4;;;;;
960;5;;;;;
961;4;;;;;
962;13;;;;;
963;0;;;;;
964;7;;;;;
965;25;;;;;
966;5;;;;;
967;3;;;;;
968;15;;;;;
969;17;;;;;
970;16;;;;;
971;5;;;;;
972;28;;;;;
973;2;;;;;
974;14;;;;;
975;0;;;;;
976;0;;;;;
977;44;;;;;
978;0;;;;;
979;0;;;;;
980;14;;;;;
981;1;;;;;
982;9;;;;;
983;1;;;;;
984;21;;;;;
985;25;;;;;
986;2;;;;;
987;15;;;;;
988;6;;;;;
989;5;;;;;
990;10;;;;;
991;13;;;;;
992;4;;;;;
993;24;;;;;
994;10;;;;;
995;176;;;;;
996;47;;;;;
997;906;;;;;
998;1;;;;;
999;1;;;;;
1000;39;;;;;
1001;1;;;;;
1002;8;;;;;
1003;0;;;;;
1004;1292;;;;;
1005;22;;;;;
1006;38;;;;;
1007;1;;;;;
1008;1;;;;;
1009;1323;;;;;
1010;4;;;;;
1011;5;;;;;
1012;2;;;;;
1013;51;;;;;
1014;8;;;;;
1015;135;;;;;
1016;8;;;;;
1017;19;;;;;
1018;9;;;;;
1019;1;;;;;
1020;3;;;;;
1021;82;;;;;
1022;6;;;;;
1023;145;;;;;
1024;90;;;;;
1025;12;;;;;
1026;15;;;;;
1027;475;;;;;
1028;7;;;;;
1029;17;;;;;
1030;1;;;;;
1031;21;;;;;
1032;4;;;;;
1033;42;;;;;
1034;24;;;;;
1035;2;;;;;
1036;24;;;;;
1037;4;;;;;
1038;1;;;;;
1039;106;;;;;
1040;13;;;;;
1041;2;;;;;
1042;14;;;;;
1043;3;;;;;
1044;2;;;;;
1045;10;;;;;
1046;5;;;;;
1047;20;;;;;
1048;7;;;;;
1049;2;;;;;
1050;14;;;;;
1051;2;;;;;
1052;15;;;;;
1053;5;;;;;
1054;9;;;;;
1055;3;;;;;
1056;1;;;;;
1057;6;;;;;
1058;45;;;;;
1059;79;;;;;
1060;7;;;;;
1061;4;;;;;
1062;10;;;;;
1063;7;;;;;
1064;6;;;;;
1065;39;;;;;
1066;4;;;;;
1067;25;;;;;
1068;36;;;;;
1069;97;;;;;
1070;39;;;;;
1071;29;;;;;
1072;172;;;;;
1073;0;;;;;
1074;0;;;;;
1075;18;;;;;
1076;79;;;;;
1077;32;;;;;
1078;9;;;;;
1079;14;;;;;
1080;10;;;;;
1081;9;;;;;
1082;7;;;;;
1083;7;;;;;
1084;44;;;;;
1085;20;;;;;
1086;2;;;;;
1087;11;;;;;
1088;7;;;;;
1089;2;;;;;
1090;11;;;;;
1091;22;;;;;
1092;2;;;;;
1093;20;;;;;
1094;12;;;;;
1095;8;;;;;
1096;2;;;;;
1097;11;;;;;
1098;4;;;;;
1099;24;;;;;
1100;56;;;;;
1101;262;;;;;
1102;7;;;;;
1103;9;;;;;
1104;9;;;;;
1105;1;;;;;
1106;10;;;;;
1107;3;;;;;
1108;2;;;;;
1109;301;;;;;
1110;2;;;;;
1111;6;;;;;
1112;2;;;;;
1113;47;;;;;
1114;11;;;;;
1115;3;;;;;
1116;15;;;;;
1117;109;;;;;
1118;2;;;;;
1119;9;;;;;
1120;20;;;;;
1121;15;;;;;
1122;5;;;;;
1123;4;;;;;
1124;8;;;;;
1125;3;;;;;
1126;3;;;;;
1127;1;;;;;
1128;16;;;;;
1129;26;;;;;
1130;8;;;;;
1131;14;;;;;
1132;18;;;;;
1133;7;;;;;
1134;1;;;;;
1135;4;;;;;
1136;8;;;;;
1137;3;;;;;
1138;13;;;;;
1139;26;;;;;
1140;6;;;;;
1141;10;;;;;
1142;3;;;;;
1143;20;;;;;
1144;9;;;;;
1145;146;;;;;
1146;1;;;;;
1147;1;;;;;
1148;17;;;;;
1149;17;;;;;
1150;4;;;;;
1151;6;;;;;
1152;2;;;;;
1153;15;;;;;
1154;14;;;;;
1155;6;;;;;
1156;12;;;;;
1157;26;;;;;
1158;5;;;;;
1159;27;;;;;
1160;1;;;;;
1161;12;;;;;
1162;4;;;;;
1163;6;;;;;
1164;8;;;;;
1165;9;;;;;
1166;10;;;;;
1167;21;;;;;
1168;1;;;;;
1169;1;;;;;
1170;31;;;;;
1171;13;;;;;
1172;9;;;;;
1173;14;;;;;
1174;1;;;;;
1175;3;;;;;
1176;19;;;;;
1177;2;;;;;
1178;2;;;;;
1179;1;;;;;
1180;2;;;;;
1181;7;;;;;
1182;122;;;;;
1183;6;;;;;
1184;15;;;;;
1185;3;;;;;
1186;8;;;;;
1187;8;;;;;
1188;9;;;;;
1189;11;;;;;
1190;16;;;;;
1191;5;;;;;
1192;2;;;;;
1193;19;;;;;
1194;7;;;;;
1195;6;;;;;
1196;10;;;;;
1197;112;;;;;
1198;19;;;;;
1199;11;;;;;
1200;1;;;;;
1201;4;;;;;
1202;1;;;;;
1203;4;;;;;
1204;12;;;;;
1205;7;;;;;
1206;10;;;;;
1207;2;;;;;
1208;2;;;;;
1209;5;;;;;
1210;33;;;;;
1211;179;;;;;
1212;66;;;;;
1213;6;;;;;
1214;21;;;;;
1215;1;;;;;
1216;9;;;;;
1217;1;;;;;
1218;15;;;;;
1219;153;;;;;
1220;1;;;;;
1221;2;;;;;
1222;17;;;;;
1223;13;;;;;
1224;14;;;;;
1225;11;;;;;
1226;46;;;;;
1227;1;;;;;
1228;16;;;;;
1229;10;;;;;
1230;2;;;;;
1231;13;;;;;
1232;3;;;;;
1233;5;;;;;
1234;10;;;;;
1235;1;;;;;
1236;11;;;;;
1237;9;;;;;
1238;1;;;;;
1239;35;;;;;
1240;1;;;;;
1241;3;;;;;
1242;15;;;;;
1243;14;;;;;
1244;1;;;;;
1245;2;;;;;
1246;4;;;;;
1247;16;;;;;
1248;7;;;;;
1249;11;;;;;
1250;26;;;;;
1251;4;;;;;
1252;2;;;;;
1253;10;;;;;
1254;9;;;;;
1255;22;;;;;
1256;1;;;;;
1257;19;;;;;
1258;15;;;;;
1259;2;;;;;
1260;38;;;;;
1261;4;;;;;
1262;386;;;;;
1263;53;;;;;
1264;3;;;;;
1265;10;;;;;
1266;2;;;;;
1267;14;;;;;
1268;15;;;;;
1269;11;;;;;
1270;29;;;;;
1271;14;;;;;
1272;28;;;;;
1273;171;;;;;
1274;9;;;;;
1275;17;;;;;
1276;23;;;;;
1277;175;;;;;
1278;1524;;;;;
1279;11;;;;;
1280;5;;;;;
1281;41;;;;;
1282;5;;;;;
1283;2;;;;;
1284;1062;;;;;
1285;10;;;;;
1286;2;;;;;
1287;2;;;;;
1288;16;;;;;
1289;2;;;;;
1290;3;;;;;
1291;5;;;;;
1292;1;;;;;
1293;12;;;;;
1294;2;;;;;
1295;24;;;;;
1296;18;;;;;
1297;20;;;;;
1298;1;;;;;
1299;264;;;;;
1300;16;;;;;
1301;299;;;;;
1302;7;;;;;
1303;15;;;;;
1304;16;;;;;
1305;9;;;;;
1306;26;;;;;
1307;2;;;;;
1308;6;;;;;
1309;7;;;;;
1310;3;;;;;
1311;44;;;;;
1312;8;;;;;
1313;22;;;;;
1314;6;;;;;
1315;6;;;;;
1316;47;;;;;
1317;7;;;;;
1318;9;;;;;
1319;8;;;;;
1320;59;;;;;
1321;13;;;;;
1322;3;;;;;
1323;17;;;;;
1324;16;;;;;
1325;1;;;;;
1326;22;;;;;
1327;4;;;;;
1328;16;;;;;
1329;1;;;;;
1330;4;;;;;
1331;3;;;;;
1332;4;;;;;
1333;1;;;;;
1334;5;;;;;
1335;168;;;;;
1336;10;;;;;
1337;10;;;;;
1338;5;;;;;
1339;6;;;;;
1340;14;;;;;
1341;4;;;;;
1342;1;;;;;
1343;2;;;;;
1344;8;;;;;
1345;8;;;;;
1346;40;;;;;
1347;9;;;;;
1348;7;;;;;
1349;4;;;;;
1350;1;;;;;
1351;9;;;;;
1352;20;;;;;
1353;1;;;;;
1354;8;;;;;
1355;155;;;;;
1356;8;;;;;
1357;17;;;;;
1358;5;;;;;
1359;2;;;;;
1360;12;;;;;
1361;3;;;;;
1362;32;;;;;
1363;12;;;;;
1364;12;;;;;
1365;154;;;;;
1366;117;;;;;
1367;20;;;;;
1368;0;;;;;
1369;4;;;;;
1370;1;;;;;
1371;9;;;;;
1372;14;;;;;
1373;21;;;;;
1374;2;;;;;
1375;2;;;;;
1376;0;;;;;
1377;32;;;;;
1378;9;;;;;
1379;6;;;;;
1380;1;;;;;
1381;3;;;;;
1382;15;;;;;
1383;4;;;;;
1384;22;;;;;
1385;38;;;;;
1386;14;;;;;
1387;41;;;;;
1388;3;;;;;
1389;2;;;;;
1390;7;;;;;
1391;6;;;;;
1392;6;;;;;
1393;1;;;;;
1394;0;;;;;
1395;1;;;;;
1396;4;;;;;
1397;4;;;;;
1398;2;;;;;
1399;2;;;;;
1400;1;;;;;
1401;2;;;;;
1402;1;;;;;
1403;1;;;;;
1404;8;;;;;
1405;5;;;;;
1406;3;;;;;
1407;5;;;;;
1408;1;;;;;
1409;19;;;;;
1410;54;;;;;
1411;65;;;;;
1412;72;;;;;
1413;8;;;;;
1414;8;;;;;
1415;9;;;;;
1416;24;;;;;
1417;12;;;;;
1418;2;;;;;
1419;1;;;;;
1420;2;;;;;
1421;18;;;;;
1422;1;;;;;
1423;3;;;;;
1424;1;;;;;
1425;1;;;;;
1426;46;;;;;
1427;2;;;;;
1428;7;;;;;
1429;4;;;;;
1430;9;;;;;
1431;12;;;;;
1432;1;;;;;
1433;1;;;;;
1434;13;;;;;
1435;3;;;;;
1436;10;;;;;
1437;24;;;;;
1438;2;;;;;
1439;13;;;;;
1440;2;;;;;
1441;4;;;;;
1442;1;;;;;
1443;2;;;;;
1444;19;;;;;
1445;2;;;;;
1446;76;;;;;
1447;2;;;;;
1448;15;;;;;
1449;3;;;;;
1450;2;;;;;
1451;3;;;;;
1452;2;;;;;
1453;3;;;;;
1454;3;;;;;
1455;0;;;;;
1456;4;;;;;
1457;17;;;;;
1458;83;;;;;
1459;1;;;;;
1460;2;;;;;
1461;86;;;;;
1462;199;;;;;
1463;1;;;;;
1464;2;;;;;
1465;4;;;;;
1466;3;;;;;
1467;3;;;;;
